,ID,cluster.mSP,H_vulgaris105,Gene_name,H_sapiens,P_Name,G_Name,GO_BP,Description
486,R029948c0g1_i01,2,g2774,NAN,PSMA7,Proteasome subunit alpha-type 7-like (EC 3.4.25.1),Psma8 Psma7l,proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],"Component of the spermatoproteasome, a form of the proteasome specifically found in testis that promotes degradation of histones, thereby participating actively to the exchange of histones during spermatogenesis. The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. "
487,R029963c0g2_i01,3,NA,AtGSTT1,GSTT1,NA,GSTT1,NA,NA
488,R029988c0g1_i01,7,g12203,NAN,GYS1,"Glycogen [starch] synthase, muscle (EC 2.4.1.11)",GYS1 GYS,glycogen biosynthetic process [GO:0005978],"Transfers the glycosyl residue from UDP-Glc to the non-reducing end of alpha-1,4-glucan. "
489,R029990c0g1_i01,7,g24326,NAN,NA,NA,NA,NA,NA
490,R030009c0g1_i01,2,g4077,NAN,MTIF2,"Translation initiation factor IF-2, mitochondrial (IF-2(Mt)) (IF-2Mt) (IF2(mt))",Mtif2,mitochondrial translational initiation [GO:0070124]; ribosome disassembly [GO:0032790],One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity). 
491,R030015c0g2_i01,5,g28152,MtRPOL,POLRMT,"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)",Polrmt,mitochondrial transcription [GO:0006390],DNA-dependent RNA polymerase catalyzes the transcription of mitochondrial DNA into RNA using the four ribonucleoside triphosphates as substrates.
492,R030024c1g1_i01,6,g27266,NAN,LRRC58,Leucine-rich repeat-containing protein 58,LRRC58,NA,NA
493,R030027c0g1_i02,6,g16855,NAN,CNRIP1,CB1 cannabinoid receptor-interacting protein 1 (CRIP-1),CNRIP1,negative regulation of signaling receptor activity [GO:2000272],Suppresses cannabinoid receptor CNR1-mediated tonic inhibition of voltage-gated calcium channels. 
494,R030036c0g1_i01,5,g20462,NAN,NA,E3 ubiquitin-protein ligase TRIM7 (EC 2.3.2.27) (Glycogenin-interacting protein) (Tripartite motif-containing protein 7),Trim7 Gnip,protein ubiquitination [GO:0016567],"E3 ubiquitin-protein ligase (By similarity). Mediates 'Lys-63'-linked polyubiquitination and stabilization of the JUN coactivator RNF187 in response to growth factor signaling via the MEK/ERK pathway, thereby regulating JUN transactivation and cellular proliferation (By similarity). "
495,R030041c0g1_i01,2,g3840,NAN,CETN3,Centrin-3,CETN3 CEN3,cell division [GO:0051301]; centrosome cycle [GO:0007098]; mRNA transport [GO:0051028]; protein transport [GO:0015031]; spindle pole body duplication [GO:0030474],"Plays a fundamental role in microtubule-organizing center structure and function.; As a component of the TREX-2 complex, involved in the export of mRNAs to the cytoplasm through the nuclear pores. "
496,R030075c1g1_i01,2,g8923,NAN,NA,NA,NA,NA,NA
497,R030089c1g1_i01,1,NA,NAN,NA,NA,NA,NA,NA
498,R030090c0g1_i01,9,g31061,NAN,GALNT5,Polypeptide N-acetylgalactosaminyltransferase 5 (pp-GaNTase 5) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5),Pgant5 CG31651,oligosaccharide biosynthetic process [GO:0009312]; protein glycosylation [GO:0006486],"Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor (PubMed:12829714, PubMed:18669915). It can both act as a peptide transferase that transfers GalNAc onto unmodified peptide substrates, and as a glycopeptide transferase that requires the prior addition of a GalNAc on a peptide before adding additional GalNAc moieties. Prefers EA2 as substrate (PubMed:12829714). In the larval midgut, required for O-glycosylation of apical and luminal proteins within copper cells enabling proper gut acidification (PubMed:22157008). "
499,R030099c0g1_i01,3,g4480,NAN,DNAJA1,DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (DJ-2) (Mydj2),DNAJA1,negative regulation of JUN kinase activity [GO:0043508]; negative regulation of apoptotic process [GO:0043066]; positive regulation of apoptotic process [GO:0043065]; protein folding [GO:0006457]; protein localization to mitochondrion [GO:0070585]; regulation of protein transport [GO:0051223]; response to heat [GO:0009408],"Co-chaperone for HSPA8/Hsc70. Plays a role in protein transport into mitochondria via its role as co-chaperone. Functions as co-chaperone for HSPA1B and negatively regulates the translocation of BAX from the cytosol to mitochondria in response to cellular stress, thereby protecting cells against apoptosis. Stimulates ATP hydrolysis, but not the folding of unfolded proteins mediated by HSPA1A (in vitro). Promotes apoptosis in response to cellular stress mediated by exposure to anisomycin or UV (By similarity). "
500,R030126c0g1_i01,9,g24851,NAN,NA,Protein DD3-3,DD3-3 DDB_G0283095,NA,May participate in O-glycosylation. 
501,R030145c0g1_i01,6,g23436,NAN,SLC26A11,Sodium-independent sulfate anion transporter (Solute carrier family 26 member 11),SLC26A11,sulfate transport [GO:0008272],Exhibits sodium-independent sulfate anion transporter activity that may cooperate with SLC26A2 to mediate DIDS-sensitive sulfate uptake into high endothelial venules endothelial cells (HEVEC). 
502,R030154c0g1_i02,2,g16571,NAN,NA,Vacuolar protein sorting-associated protein 4,VPS4 CAALFM_C503090WA CaO19.11814 CaO19.4339,cellular response to lithium ion [GO:0071285]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms [GO:0044182]; hyphal growth [GO:0030448]; late endosome to vacuole transport [GO:0045324]; pathogenesis [GO:0009405]; protein secretion [GO:0009306]; protein targeting to vacuole [GO:0006623]; vacuole organization [GO:0007033],"Pre-vacuolar protein sorting protein involved in the transport of biosynthetic membrane proteins from the prevacuolar/endosomal compartment to the vacuole. Required for multivesicular body (MVB) protein sorting. Catalyzes the ATP-dependent dissociation of class E VPS proteins from endosomal membranes, such as the disassembly of the ESCRT-III complex. Required for extracellular secretion of the secreted aspartyl proteases SAP2, SAP4, SAP5, and SAP6. Its regulation of the pre-vacuolar secretory pathway is critical for virulence. "
503,R030155c0g1_i01,2,g3797,NAN,ILF2,Interleukin enhancer-binding factor 2,ILF2,"immune response [GO:0006955]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]",Appears to function predominantly as a heterodimeric complex with ILF3. This complex may regulate transcription of the IL2 gene during T-cell activation. It can also promote the formation of stable DNA-dependent protein kinase holoenzyme complexes on DNA (By similarity). Essential for the efficient reshuttling of ILF3 into the nucleus (By similarity). 
504,R030156c0g1_i05,5,NA,NAN,NA,NA,NA,NA,NA
505,R030159c0g2_i01,4,g363,NAN,GARS1,Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase) (GlyRS),Gars,diadenosine tetraphosphate biosynthetic process [GO:0015966]; glycyl-tRNA aminoacylation [GO:0006426]; mitochondrial glycyl-tRNA aminoacylation [GO:0070150]; tRNA aminoacylation for protein translation [GO:0006418],"Catalyzes the ATP-dependent ligation of glycine to the 3'-end of its cognate tRNA, via the formation of an aminoacyl-adenylate intermediate (Gly-AMP). Also produces diadenosine tetraphosphate (Ap4A), a universal pleiotropic signaling molecule needed for cell regulation pathways, by direct condensation of 2 ATPs. Thereby, may play a special role in Ap4A homeostasis. "
506,R030175c0g1_i02,5,g5537,RNA,POLR2A,DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase II subunit A) (DNA-directed RNA polymerase III largest subunit),Polr2a Rpii215 Rpo2-1,"DNA-templated transcription, termination [GO:0006353]; cellular response to oxygen levels [GO:0071453]; positive regulation of RNA splicing [GO:0033120]; response to organic cyclic compound [GO:0014070]; transcription by RNA polymerase II [GO:0006366]","DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Largest and catalytic component of RNA polymerase II which synthesizes mRNA precursors and many functional non-coding RNAs. Forms the polymerase active center together with the second largest subunit. Pol II is the central component of the basal RNA polymerase II transcription machinery. It is composed of mobile elements that move relative to each other. RPB1 is part of the core element with the central large cleft, the clamp element that moves to open and close the cleft and the jaws that are thought to grab the incoming DNA template. At the start of transcription, a single-stranded DNA template strand of the promoter is positioned within the central active site cleft of Pol II. A bridging helix emanates from RPB1 and crosses the cleft near the catalytic site and is thought to promote translocation of Pol II by acting as a ratchet that moves the RNA-DNA hybrid through the active site by switching from straight to bent conformations at each step of nucleotide addition. During transcription elongation, Pol II moves on the template as the transcript elongates (By similarity). Elongation is influenced by the phosphorylation status of the C-terminal domain (CTD) of Pol II largest subunit (RPB1), which serves as a platform for assembly of factors that regulate transcription initiation, elongation, termination and mRNA processing (By similarity). Regulation of gene expression levels depends on the balance between methylation and acetylation levels of tha CTD-lysines (PubMed:26687004). Initiation or early elongation steps of transcription of growth-factors-induced immediate early genes are regulated by the acetylation status of the CTD (PubMed:24207025). Methylation and dimethylation have a repressive effect on target genes expression (PubMed:26687004). "
507,R030177c0g1_i04,5,g28059,ECE-1 ,NA,Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71),ECE1,bradykinin catabolic process [GO:0010815]; calcitonin catabolic process [GO:0010816]; ear development [GO:0043583]; embryonic digit morphogenesis [GO:0042733]; endothelin maturation [GO:0034959]; heart development [GO:0007507]; hormone catabolic process [GO:0042447]; peptide hormone processing [GO:0016486]; pharyngeal system development [GO:0060037]; positive regulation of receptor recycling [GO:0001921]; protein processing [GO:0016485]; regulation of systemic arterial blood pressure by endothelin [GO:0003100]; regulation of vasoconstriction [GO:0019229]; substance P catabolic process [GO:0010814],Converts big endothelin-1 to endothelin-1. 
508,R030186c0g1_i02,5,g12545,NAN,DBT,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (EC 2.3.1.168) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (Dihydrolipoamide branched-chain transacylase E2)",dbt-1 ZK669.4,fatty acid biosynthetic process [GO:0006633]; positive regulation of embryonic development [GO:0040019]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of nematode larval development [GO:0061063]; positive regulation of oviposition [GO:1901046],"The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2) (By similarity). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3) (By similarity). Within this complex, the catalytic function of this enzyme is to accept, and to transfer to coenzyme A, acyl groups that are generated by the branched-chain alpha-keto acid decarboxylase component (By similarity). Required for the catabolism of branched-chain amino acids and the subsequent synthesis of monomethyl branched-chain fatty acids, which are important for regulating postembryonic growth (PubMed:26683372). "
509,R030187c0g1_i03,5,g2121,NAN,NA,Receptor-type guanylate cyclase gcy-28 (EC 4.6.1.2) (GCY-X1),gcy-28 T01A4.1,cGMP biosynthetic process [GO:0006182]; chemotaxis [GO:0006935]; intracellular signal transduction [GO:0035556]; olfactory behavior [GO:0042048]; receptor guanylyl cyclase signaling pathway [GO:0007168]; sensory perception of chemical stimulus [GO:0007606]; sensory processing [GO:0050893]; signal transduction [GO:0007165],Guanylate cyclase involved in the production of the second messenger cGMP (PubMed:9188508). Regulates olfactory perception in AWC sensory neurons although may not be involved in the primary sensory transduction steps (PubMed:18817734). ; Isoforms c: Regulates sensory integration of conflicting sensory cues in AIA interneurons (PubMed:21414922).; Isoform d: Regulates sensory integration of conflicting sensory cues in AIA interneurons (PubMed:21414922).
510,R030192c0g1_i01,5,NA,NAN,SLC17A9,NA,SLC17A9,NA,NA
511,R030200c0g1_i01,4,g13142,NAN,ATP6V1A,V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar proton pump subunit alpha),VHAA,ATP metabolic process [GO:0046034],Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. This is a catalytic subunit. V-ATPase is responsible for energizing electrophoretic K(+)/2H(+) antiport by generating a transmembrane voltage of more than 200 mV.
512,R030221c0g1_i02,2,g3389,NAN,NA,Zinc metalloproteinase nas-13 (EC 3.4.24.-) (Nematode astacin 13),nas-13 F39D8.4,NA,Metalloprotease. 
513,R030224c0g1_i01,4,g6018,NAN,NA,NA,NA,NA,NA
514,R030242c0g1_i02,3,g18291,NAN,NA,Putative leucine-rich repeat-containing protein DDB_G0281931,DDB_G0281931,NA,NA
515,R030253c0g1_i02,9,g31592,NAN,NA,Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha),NRXN3 C14orf60 KIAA0743,adult behavior [GO:0030534]; axon guidance [GO:0007411]; learning [GO:0007612]; neuron cell-cell adhesion [GO:0007158]; social behavior [GO:0035176]; vocalization behavior [GO:0071625],Neuronal cell surface protein that may be involved in cell recognition and cell adhesion. May mediate intracellular signaling.
516,R030289c0g2_i01,2,g33660,NAN,RFC3,Replication factor C subunit 3 (Activator 1 38 kDa subunit) (A1 38 kDa subunit) (Activator 1 subunit 3) (Replication factor C 38 kDa subunit) (RF-C 38 kDa subunit) (RFC38),RFC3,"DNA damage response, detection of DNA damage [GO:0042769]; DNA duplex unwinding [GO:0032508]; DNA replication [GO:0006260]; DNA strand elongation involved in DNA replication [GO:0006271]; DNA synthesis involved in DNA repair [GO:0000731]; DNA-dependent DNA replication [GO:0006261]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; nucleotide-excision repair, DNA gap filling [GO:0006297]; nucleotide-excision repair, DNA incision [GO:0033683]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; positive regulation of DNA-directed DNA polymerase activity [GO:1900264]; regulation of signal transduction by p53 class mediator [GO:1901796]; response to organophosphorus [GO:0046683]; telomere maintenance via semi-conservative replication [GO:0032201]; transcription-coupled nucleotide-excision repair [GO:0006283]; translesion synthesis [GO:0019985]",The elongation of primed DNA templates by DNA polymerase delta and epsilon requires the action of the accessory proteins proliferating cell nuclear antigen (PCNA) and activator 1.
517,R030312c0g1_i01,5,g14111,GPx-1,NA,Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase),GPX1,"UV protection [GO:0009650]; angiogenesis involved in wound healing [GO:0060055]; blood vessel endothelial cell migration [GO:0043534]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; endothelial cell development [GO:0001885]; fat cell differentiation [GO:0045444]; glutathione metabolic process [GO:0006749]; heart contraction [GO:0060047]; hydrogen peroxide catabolic process [GO:0042744]; interaction with symbiont [GO:0051702]; lipoxygenase pathway [GO:0019372]; myoblast proliferation [GO:0051450]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of supramolecular fiber organization [GO:1902905]; protein oxidation [GO:0018158]; purine nucleotide catabolic process [GO:0006195]; regulation of gene expression, epigenetic [GO:0040029]; regulation of mammary gland epithelial cell proliferation [GO:0033599]; regulation of proteasomal protein catabolic process [GO:0061136]; response to gamma radiation [GO:0010332]; response to hydrogen peroxide [GO:0042542]; response to hydroperoxide [GO:0033194]; response to selenium ion [GO:0010269]; response to symbiotic bacterium [GO:0009609]; response to xenobiotic stimulus [GO:0009410]; sensory perception of sound [GO:0007605]; skeletal muscle fiber development [GO:0048741]; skeletal muscle tissue regeneration [GO:0043403]; temperature homeostasis [GO:0001659]; triglyceride metabolic process [GO:0006641]; vasodilation [GO:0042311]",Protects the hemoglobin in erythrocytes from oxidative breakdown.
518,R030326c0g1_i01,5,g19189,NAN,TYW1B,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1 (EC 4.1.3.44) (Radical S-adenosyl methionine and flavodoxin domain-containing protein 1) (tRNA wybutosine-synthesizing protein 1 homolog) (tRNA-yW-synthesizing protein),tyw1 rsafd1,oxidation-reduction process [GO:0055114]; tRNA processing [GO:0008033],"Probable component of the wybutosine biosynthesis pathway. Wybutosine is a hyper modified guanosine with a tricyclic base found at the 3'-position adjacent to the anticodon of eukaryotic phenylalanine tRNA. Catalyzes the condensation of N-methylguanine with 2 carbon atoms from pyruvate to form the tricyclic 4-demethylwyosine, an intermediate in wybutosine biosynthesis (By similarity). "
519,R030333c0g1_i01,3,NA,NAN,AC046185.1,NA,AC046185.1,NA,NA
520,R030335c0g1_i02,7,g22184,NAN,DSTYK,Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (Receptor-interacting serine/threonine-protein kinase 5),DSTYK RIPK5,NA,May act as a positive regulator of ERK phosphorylation downstream of fibroblast growth factor-receptor activation. May induce both caspase-dependent apoptosis and caspase-independent cell death. 
521,R030344c0g2_i01,5,g20402,NAN,FAF2,FAS-associated factor 2 (UBX domain-containing protein 8),Faf2 Kiaa0887 Ubxd8,"lipid droplet organization [GO:0034389]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; response to unfolded protein [GO:0006986]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]","Plays an important role in endoplasmic reticulum-associated degradation (ERAD) that mediates ubiquitin-dependent degradation of misfolded endoplasmic reticulum proteins. By controlling the steady-state expression of the IGF1R receptor, indirectly regulates the insulin-like growth factor receptor signaling pathway. Involved in inhibition of lipid droplet degradation by binding to phospholipase PNPL2 and inhibiting its activity by promoting dissociation of PNPL2 from its endogenous activator, ABHD5 which inhibits the rate of triacylglycerol hydrolysis. "
522,R030348c0g2_i02,7,g2490,NeuroD4,NA,Neurogenic differentiation factor 4 (NeuroD4) (Class A basic helix-loop-helix protein 4) (bHLHa4) (Protein atonal homolog 3) (ATH-3) (Atoh3),NEUROD4 ATH3 ATOH3 BHLHA4,Notch signaling pathway [GO:0007219]; amacrine cell differentiation [GO:0035881]; cell fate commitment [GO:0045165]; glial cell differentiation [GO:0010001]; neuroblast proliferation [GO:0007405]; neuron development [GO:0048666]; neuron migration [GO:0001764]; positive regulation of cell differentiation [GO:0045597],Probably acts as a transcriptional activator. Mediates neuronal differentiation. Required for the regulation of amacrine cell fate specification in the retina (By similarity). 
523,R030354c0g1_i01,5,g12101,AADC,DDC,Histidine decarboxylase (HDC) (EC 4.1.1.22),Hdc,catecholamine biosynthetic process [GO:0042423]; histamine biosynthetic process [GO:0001694]; histamine metabolic process [GO:0001692]; histidine catabolic process [GO:0006548]; histidine metabolic process [GO:0006547],Catalyzes the biosynthesis of histamine from histidine. 
524,R030359c0g1_i01,5,g1431,NAN,PXN,Paxillin,Pxn,activation of MAPK activity [GO:0000187]; branching morphogenesis of an epithelial tube [GO:0048754]; cytoskeleton organization [GO:0007010]; endothelial cell migration [GO:0043542]; focal adhesion assembly [GO:0048041]; growth hormone receptor signaling pathway [GO:0060396]; integrin-mediated signaling pathway [GO:0007229]; lamellipodium assembly [GO:0030032]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of angiogenesis [GO:0045766]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of stress fiber assembly [GO:0051496]; regulation of cell shape [GO:0008360]; response to peptide [GO:1901652]; substrate adhesion-dependent cell spreading [GO:0034446]; transforming growth factor beta receptor signaling pathway [GO:0007179],Cytoskeletal protein involved in actin-membrane attachment at sites of cell adhesion to the extracellular matrix (focal adhesion). 
525,R030368c0g2_i01,5,NA,NAN,FHL3,NA,FHL3,NA,NA
526,R030380c0g1_i01,3,g16986,NAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),PSMD12,NA,"Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair. "
527,R030389c0g3_i01,5,g33218,Imp7,IPO8,Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7),Ipo7 Ranbp7,innate immune response [GO:0045087]; protein import into nucleus [GO:0006606],"Functions in nuclear protein import, either by acting as autonomous nuclear transport receptor or as an adapter-like protein in association with the importin-beta subunit KPNB1. Acting autonomously is thought to serve itself as receptor for nuclear localization signals (NLS) and to promote translocation of import substrates through the nuclear pore complex (NPC) by an energy requiring, Ran-dependent mechanism. At the nucleoplasmic side of the NPC, Ran binds to importin, the importin/substrate complex dissociates and importin is re-exported from the nucleus to the cytoplasm where GTP hydrolysis releases Ran. Mediates autonomously the nuclear import of ribosomal proteins RPL23A, RPS7 and RPL5. Binds to a beta-like import receptor binding (BIB) domain of RPL23A. In association with KPNB1 mediates the nuclear import of H1 histone and the Ran-binding site of IPO7 is not required but synergizes with that of KPNB1 in importin/substrate complex dissociation (By similarity). In vitro, mediates nuclear import of H2A, H2B, H3 and H4 histones. "
528,R030413c0g2_i02,8,g15387,NAN,DMBX1,Diencephalon/mesencephalon homeobox protein 1-B,dmbx1b mbx2 zgc:112395,"midbrain development [GO:0030901]; regulation of cell cycle [GO:0051726]; regulation of mitotic cell cycle [GO:0007346]; regulation of neural retina development [GO:0061074]; regulation of neurogenesis [GO:0050767]; regulation of transcription, DNA-templated [GO:0006355]; retina development in camera-type eye [GO:0060041]",NA
529,R030429c0g1_i01,1,g17347,NAN,NA,NA,NA,NA,NA
530,R030436c0g1_i02,1,g16204,FIBL-6,NA,Hemicentin-1 (Fibulin-6) (FIBL-6),Hmcn1,cell cycle [GO:0007049]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617],Promotes cleavage furrow maturation during cytokinesis in preimplantation embryos (PubMed:21215633). May play a role in the architecture of adhesive and flexible epithelial cell junctions (PubMed:17015624). May play a role during myocardial remodeling by imparting an effect on cardiac fibroblast migration (PubMed:24951538). 
531,R030438c0g1_i03,1,g17462,NAN,NA,NA,NA,NA,NA
532,R030440c0g1_i02,5,g25397,ABC transporter,NA,ABC transporter G family member 22 (ABC transporter ABCG.22) (AtABCG22) (White-brown complex homolog protein 23) (AtWBC23),ABCG22 WBC23 At5g06530 F15M7.6,response to water deprivation [GO:0009414]; transmembrane transport [GO:0055085]; transpiration [GO:0010148],NA
533,R030443c0g1_i01,1,NA,NAN,NA,NA,NA,NA,NA
534,R030455c0g1_i01,9,g33254,NAN,NA,NA,NA,NA,NA
535,R030461c0g1_i01,7,g3099,mGluR3,NA,Metabotropic glutamate receptor 3 (mGluR3),Grm3 Gprc1c Mglur3,"G protein-coupled glutamate receptor signaling pathway [GO:0007216]; modulation of chemical synaptic transmission [GO:0050804]; regulation of sensory perception of pain [GO:0051930]; regulation of synaptic transmission, glutamatergic [GO:0051966]; sensory perception of pain [GO:0019233]; synaptic transmission, glutamatergic [GO:0035249]",G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling inhibits adenylate cyclase activity.
536,R030488c0g1_i01,5,g19766,NAN,ALKBH5,RNA demethylase ALKBH5 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 5) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5),Alkbh5 Abh5 Ofoxd,cell differentiation [GO:0030154]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; oxidative single-stranded RNA demethylation [GO:0035553]; regulation of mRNA stability [GO:0043488]; response to hypoxia [GO:0001666]; spermatogenesis [GO:0007283],"Dioxygenase that demethylates RNA by oxidative demethylation: specifically demethylates N(6)-methyladenosine (m6A) RNA, the most prevalent internal modification of messenger RNA (mRNA) in higher eukaryotes (PubMed:29279410). Can also demethylate N(6)-methyladenosine in single-stranded DNA (in vitro) (By similarity). Requires molecular oxygen, alpha-ketoglutarate and iron (By similarity). Demethylation of m6A mRNA affects mRNA processing and export (By similarity). Required for the late meiotic and haploid phases of spermatogenesis by mediating m6A demethylation in spermatocytes and round spermatids: m6A demethylation of target transcripts is required for correct splicing and the production of longer 3'-UTR mRNAs in male germ cells (PubMed:23177736, PubMed:29279410). "
537,R030491c0g1_i02,4,NA,NAN,NA,NA,NA,NA,NA
538,R030530c0g1_i01,4,g3420,NAN,GANC,Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha),GANAB,N-glycan processing [GO:0006491]; carbohydrate metabolic process [GO:0005975],"Catalytic subunit of glucosidase II that cleaves sequentially the 2 innermost alpha-1,3-linked glucose residues from the Glc(2)Man(9)GlcNAc(2) oligosaccharide precursor of immature glycoproteins. Required for PKD1/Polycystin-1 and PKD2/Polycystin-2 maturation and localization to the cell surface and cilia. "
539,R030540c0g1_i01,9,g11997,NAN,TMEM175,NA,TMEM175,NA,NA
540,R030561c0g1_i03,2,g26403,NAN,THEG,Testicular haploid expressed gene protein,Theg,cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283],May be involved (but not essential) in spermatogenesis. 
541,R030568c0g1_i01,5,g24770,NAN,CARM1,Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4),carm1 si:dkey-204f11.63 zgc:100805,"histone H3-R17 methylation [GO:0034971]; histone arginine methylation [GO:0034969]; peptidyl-arginine methylation, to asymmetrical-dimethyl arginine [GO:0019919]; positive regulation of fat cell differentiation [GO:0045600]; regulation of intracellular estrogen receptor signaling pathway [GO:0033146]; regulation of skeletal muscle fiber development [GO:0048742]; regulation of transcription, DNA-templated [GO:0006355]","Methylates (mono- and asymmetric dimethylation) the guanidino nitrogens of arginyl residues in several proteins involved in DNA packaging, transcription regulation, pre-mRNA splicing, and mRNA stability. Recruited to promoters upon gene activation together with histone acetyltransferases from EP300/P300 and p160 families, methylates histone H3 at 'Arg-17' (H3R17me) and activates transcription via chromatin remodeling. "
542,R030578c0g1_i01,5,g30535,SOS-2 ,SOS2,Son of sevenless homolog 2 (SOS-2) (mSOS-2),Sos2,B cell homeostasis [GO:0001782]; lymphocyte homeostasis [GO:0002260]; positive regulation of small GTPase mediated signal transduction [GO:0051057]; regulation of Rho protein signal transduction [GO:0035023]; regulation of T cell differentiation in thymus [GO:0033081]; regulation of T cell proliferation [GO:0042129]; regulation of pro-B cell differentiation [GO:2000973]; small GTPase mediated signal transduction [GO:0007264],Promotes the exchange of Ras-bound GDP by GTP. 
